x,ca,cb,cc
0.01,0.980399896,0.019405472,0.000194633
0.02,0.961201853,0.038411749,0.000386398
0.03,0.942397635,0.057027035,0.00057533
0.04,0.923979191,0.075259345,0.000761464
0.05,0.905938628,0.093116539,0.000944832
0.06,0.888268218,0.110606312,0.00112547
0.07,0.870960389,0.127736202,0.001303409
0.08,0.854007721,0.144513595,0.001478684
0.09,0.837402947,0.160945728,0.001651325
0.1,0.821138948,0.177039685,0.001821367
0.11,0.805208747,0.192802414,0.001988839
0.12,0.789605515,0.208240711,0.002153774
0.13,0.774322564,0.223361233,0.002316204
0.14,0.759353344,0.238170498,0.002476157
0.15,0.744691436,0.252674898,0.002633667
0.16,0.730330546,0.266880693,0.002788761
0.17,0.716264509,0.28079402,0.00294147
0.18,0.702487284,0.294420892,0.003091825
0.19,0.688992961,0.307767186,0.003239852
0.2,0.675775754,0.320838663,0.003385583
0.21,0.662829989,0.333640966,0.003529045
0.22,0.650150111,0.346179623,0.003670266
0.23,0.637730676,0.35846005,0.003809274
0.24,0.625566349,0.370487553,0.003946098
0.25,0.613651906,0.38226733,0.004080764
0.26,0.601982232,0.393804469,0.004213299
0.27,0.590552314,0.405103955,0.004343731
0.28,0.579357243,0.416170672,0.004472085
0.29,0.568392209,0.427009403,0.004598388
0.3,0.5576525,0.437624834,0.004722665
0.31,0.547133502,0.448021554,0.004844943
0.32,0.536830694,0.458204059,0.004965247
0.33,0.526739648,0.468176751,0.005083601
0.34,0.516856025,0.477943944,0.005200031
0.35,0.507175576,0.487509863,0.005314561
0.36,0.49769414,0.496878646,0.005427215
0.37,0.488407638,0.506054345,0.005538017
0.38,0.479312077,0.515040932,0.005646992
0.39,0.470403545,0.523842293,0.005754162
0.4,0.461678211,0.532462238,0.005859551
0.41,0.45313232,0.540904498,0.005963181
0.42,0.444762194,0.549172729,0.006065076
0.43,0.436564229,0.557270513,0.006165258
0.44,0.428534893,0.565201357,0.00626375
0.45,0.420670731,0.572968697,0.006360572
0.46,0.412968358,0.580575894,0.006455748
0.47,0.405424457,0.588026245,0.006549298
0.48,0.39803578,0.595322975,0.006641244
0.49,0.390799146,0.602469247,0.006731607
0.5,0.38371144,0.609468153,0.006820408
0.51,0.376769608,0.616322725,0.006907667
0.52,0.36997066,0.623035936,0.006993404
0.53,0.363311662,0.629610697,0.007077641
0.54,0.356789745,0.636049859,0.007160396
0.55,0.350402097,0.642356213,0.00724169
0.56,0.344145963,0.648532495,0.007321542
0.57,0.338018645,0.654581384,0.007399971
0.58,0.332017501,0.660505502,0.007476997
0.59,0.326139943,0.666307419,0.007552638
0.6,0.320383436,0.671989651,0.007626913
0.61,0.314745495,0.677554664,0.007699841
0.62,0.30922369,0.683004871,0.007771439
0.63,0.303815635,0.688342638,0.007841726
0.64,0.298518997,0.693570282,0.00791072
0.65,0.293331489,0.698690073,0.007978439
0.66,0.288250871,0.703704231,0.008044899
0.67,0.283274948,0.708614934,0.008110118
0.68,0.278401572,0.713424314,0.008174113
0.69,0.273628638,0.71813446,0.008236902
0.7,0.268954082,0.722747417,0.0082985
0.71,0.264375886,0.727265189,0.008358925
0.72,0.259892071,0.731689736,0.008418193
0.73,0.255500698,0.736022983,0.008476319
0.74,0.251199869,0.740266811,0.008533321
0.75,0.246987724,0.744423063,0.008589213
0.76,0.242862442,0.748493547,0.008644011
0.77,0.238822238,0.75248003,0.008697732
0.78,0.234865365,0.756384246,0.008750389
0.79,0.23099011,0.76020789,0.008801999
0.8,0.227194797,0.763952626,0.008852576
0.81,0.223477783,0.767620081,0.008902136
0.82,0.219837459,0.771211849,0.008950692
0.83,0.216272248,0.774729493,0.008998259
0.84,0.212780608,0.778174541,0.009044851
0.85,0.209361025,0.781548492,0.009090483
0.86,0.206012018,0.784852814,0.009135168
0.87,0.202732136,0.788088942,0.009178921
0.88,0.199519959,0.791258286,0.009221755
0.89,0.196374094,0.794362223,0.009263684
0.9,0.193293176,0.797402104,0.00930472
0.91,0.190275871,0.800379251,0.009344878
0.92,0.18732087,0.80329496,0.009384169
0.93,0.184426892,0.8061505,0.009422608
0.94,0.181592681,0.808947112,0.009460207
0.95,0.178817008,0.811686014,0.009496978
0.96,0.176098669,0.814368397,0.009532933
0.97,0.173436484,0.816995429,0.009568087
0.98,0.170829297,0.819568254,0.009602449
0.99,0.168275976,0.822087991,0.009636033
1,0.165775412,0.824555737,0.009668851
1.01,0.163326519,0.826972567,0.009700913
1.02,0.160928235,0.829339533,0.009732233
1.03,0.158579516,0.831657664,0.00976282
1.04,0.156279344,0.833927969,0.009792687
1.05,0.154026716,0.836151439,0.009821845
1.06,0.151820655,0.83832904,0.009850305
1.07,0.149660201,0.840461721,0.009878078
1.08,0.147544415,0.842550411,0.009905174
1.09,0.145472376,0.844596018,0.009931605
1.1,0.143443185,0.846599434,0.009957381
1.11,0.141455957,0.848561531,0.009982512
1.12,0.139509828,0.850483162,0.010007009
1.13,0.137603951,0.852365167,0.010030882
1.14,0.135737496,0.854208363,0.010054141
1.15,0.133909651,0.856013553,0.010076796
1.16,0.132119619,0.857781524,0.010098857
1.17,0.130366621,0.859513045,0.010120333
1.18,0.128649895,0.86120887,0.010141235
1.19,0.126968691,0.862869738,0.010161571
1.2,0.125322278,0.864496372,0.010181351
1.21,0.123709936,0.86608948,0.010200584
1.22,0.122130964,0.867649757,0.010219279
1.23,0.120584674,0.869177881,0.010237446
1.24,0.11907039,0.870674518,0.010255092
1.25,0.117587453,0.872140319,0.010272228
1.26,0.116135216,0.873575922,0.010288862
1.27,0.114713045,0.874981953,0.010305002
1.28,0.11332032,0.876359024,0.010320656
1.29,0.111956432,0.877707734,0.010335834
1.3,0.110620786,0.879028671,0.010350542
1.31,0.1093128,0.88032241,0.010364791
1.32,0.108031902,0.881589512,0.010378586
1.33,0.106777533,0.88283053,0.010391937
1.34,0.105549144,0.884046004,0.010404851
1.35,0.1043462,0.885236463,0.010417337
1.36,0.103168174,0.886402425,0.0104294
1.37,0.102014552,0.887544398,0.01044105
1.38,0.100884829,0.888662878,0.010452293
1.39,0.099778512,0.889758351,0.010463137
1.4,0.098695117,0.890831294,0.010473589
1.41,0.09763417,0.891882174,0.010483657
1.42,0.096595207,0.892911447,0.010493346
1.43,0.095577773,0.893919562,0.010502664
1.44,0.094581424,0.894906957,0.010511619
1.45,0.093605723,0.895874061,0.010520216
1.46,0.092650244,0.896821294,0.010528462
1.47,0.091714568,0.897749068,0.010536364
1.48,0.090798286,0.898657785,0.010543929
1.49,0.089900996,0.899547842,0.010551162
1.5,0.089022306,0.900419623,0.010558071
1.51,0.088161832,0.901273508,0.01056466
1.52,0.087319195,0.902109868,0.010570937
1.53,0.086494027,0.902929066,0.010576907
1.54,0.085685966,0.903731457,0.010582577
1.55,0.084894658,0.90451739,0.010587951
1.56,0.084119757,0.905287206,0.010593037
1.57,0.083360922,0.906041239,0.010597839
1.58,0.08261782,0.906779817,0.010602363
1.59,0.081890126,0.907503259,0.010606615
